lat,lon,depth,Jfix
43.42,-8.44,1,0.0279955
12.41,-27.25,30,0.0279955
11.5,-22.5,50,0.028032
-15.5919,-75.3711,900,0.0280685
-10.1773,100.0806,1,0.028105
22.75,-158,125,0.028178
-19.6772,160.4769,120,0.0282145
22.75,-158,100,0.028324
12,135,153,0.0283605
22.75,-158,75,0.028397
23.5866,-50.9101,200,0.0284335
-19,164.9,650,0.0285065
-19,164.9,650,0.0285065
29.1848,-15.4518,5,0.028543
-38.6362,150.4156,31,0.028616
22.75,-158,125,0.028762
-13.999,-85.834,350,0.028835
-20.9687,178.6432,131.177,0.028835
-57.5,-170,7.66,0.028835
-26.0129,-113.9901,150.26,0.0290175
22.75,-158,100,0.029054
20.0041,-52.6323,94,0.0290905
-31.8143,6.8434,32,0.0291635
33.7037,32.6368,5.6,0.0292
22.75,-158,97,0.0292
74,-90,31.17,0.0292
0.3314,-23.0003,65,0.0292
1.9862,-10.003,90,0.0292
-0.0248,-0.0001,40,0.0292
2.001,-0.0005,80,0.0292
72.4728,-155.4014,69,0.0292
72.1746,-156.2242,66.1,0.0292
22.75,-158,100,0.0292
22.75,-158,125,0.0292
1.0012,80.0003,1,0.0292
27.999,123.752,58,0.0292
22.75,-158,125,0.0292
19.6692,-61.0781,140,0.0292
28.4996,-58.8374,100,0.029346
-17.3758,155.8,75,0.029419
